subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
1,memory,1,0,0,1,6,1.82969809999986,2.68521310000006,30,0
1,memory,2,1,1,1,4,4.08019599999989,2.13734740000018,30,0
1,memory,3,0,0,1,4,2.30311019999999,2.80180149999978,30,0
1,memory,4,0,0,1,5,2.71560176723824,0.88648269999976,30,0
1,memory,5,1,0,0,3,3.41993400000001,1.66513130000021,30,0
1,memory,6,1,1,1,NaN,1.3926790808232,NaN,30,0
1,memory,7,1,1,1,5,2.11835450000035,2.13779799999975,30,0
1,memory,8,0,0,1,3,1.81230360000018,1.90433080000003,30,0
1,memory,9,1,1,1,4,3.49519830000008,1.92108719999987,30,0
1,memory,10,1,1,1,3,2.24588540000013,0.87021649999997,30,0
1,memory,11,0,0,1,7,0.914207220548633,1.23800609999989,30,0
1,memory,12,0,0,1,7,1.42676519999986,1.31989109999995,30,0
1,memory,13,0,0,1,7,1.24717030000011,2.30372510000007,30,0
1,memory,14,0,0,1,7,1.36753180000005,0.970204799999919,30,0
1,memory,15,1,1,1,7,1.44248239999979,1.92272379999986,30,0
1,memory,16,0,0,1,6,1.58915052785551,1.78739499999983,30,0
1,memory,17,0,0,1,7,0.838454900000215,1.03882990000011,30,0
1,memory,18,1,1,1,2,3.79435860000012,0.871512600000187,30,0
1,memory,19,1,1,1,2,1.56722797385873,1.67277209999975,30,0
1,memory,20,0,0,1,2,2.99737060000007,1.50827900000013,30,0
1,memory,21,0,0,1,7,1.20925263344725,0.87083229999962,30,0
1,memory,22,0,0,1,5,1.56617406723808,0.954600699999901,30,0
1,memory,23,1,1,1,7,1.02555200000006,1.18926610000017,30,0
1,memory,24,0,0,1,5,1.26577820000011,2.23713369999996,30,0
1,memory,25,1,1,1,7,1.08636474737523,1.0884931999999,30,0
1,memory,26,0,0,1,4,2.13433029999987,0.504560299999866,30,0
1,memory,27,0,1,0,2,2.23724459999994,1.35588139999982,30,0
1,memory,28,0,0,1,7,1.13347999999996,2.13750949999985,30,0
1,memory,29,0,0,1,3,1.49081089999981,0.889129499999854,30,0
1,memory,30,0,0,1,7,1.11611281461364,2.68709780000017,30,0
1,memory,31,1,1,1,6,1.6360715672381,1.60434299999997,30,0
1,memory,32,1,1,1,7,1.29938510730699,0.689900999999736,30,0
1,memory,33,1,1,1,2,3.63560963344707,1.70523559999992,30,0
1,memory,34,1,0,0,2,2.10994338013734,1.32029770000008,30,0
1,memory,35,0,0,1,1,2.32452987385886,1.45398180000029,30,0
1,memory,36,0,1,0,1,3.36677299999974,1.88943840000002,30,0
1,memory,37,1,1,1,1,5.31662079999978,1.65383960000008,30,0
1,memory,38,0,0,1,3,1.43118274703238,0.920574199999919,30,0
1,memory,39,0,0,1,4,2.63187160000007,3.75588569999991,30,0
1,memory,40,0,0,1,3,2.18445560000009,1.97041730000001,30,0
1,memory,41,0,0,1,6,1.42581698710092,1.9864690000004,30,0
1,memory,42,0,0,1,3,2.0578359000001,0.953761600000234,30,0
1,memory,43,1,1,1,3,3.85803738013692,0.703881400000228,30,0
1,memory,44,0,0,1,5,1.67668330000015,1.65536870000005,30,0
1,memory,45,0,0,1,3,1.61691222716991,1.65442379999968,30,0
1,memory,46,0,0,1,1,1.73325390000036,3.00456080000004,30,0
1,memory,47,0,1,0,5,1.36705342682671,1.12018309999985,30,0
1,memory,48,1,1,1,6,1.2446891079926,1.08697419999999,30,0
1,memory,49,0,0,1,5,3.07304043379054,1.27062529999967,30,0
